,name,rating,reviews,type,hq,old,employees
0,TCS,3.9,(43.8k Reviews),Public,"Mumbai,Maharashtra + 250 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(29k Reviews),Public,"Dublin,Dublin + 136 more",33 years old,1 Lakh+ Employees (India)
2,Cognizant,4.0,(26.2k Reviews),Private,Teaneck. New Jersey. + 88 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(33k Reviews),Public,"Mumbai,Maharashtra + 1007 more",28 years old,50k-1 Lakh Employees (India)
4,Wipro,3.9,(24.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 258 more",77 years old,1 Lakh+ Employees (India)
5,HDFC Bank,4.0,(34.2k Reviews),Public,"Mumbai,Maharashtra + 1140 more",28 years old,1 Lakh+ Employees (India)
6,Capgemini,3.9,(21.3k Reviews),Public,Paris + 73 more,55 years old,1 Lakh+ Employees (India)
7,HCL Technologies,3.9,(20.8k Reviews),Public,"Noida,Uttar Pradesh + 160 more",46 years old,1 Lakh+ Employees (India)
8,Infosys,4.0,(25k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 122 more",41 years old,1 Lakh+ Employees (India)
9,Tech Mahindra,3.8,(19.4k Reviews),Public,"Pune,Maharashtra + 192 more",36 years old,50k-1 Lakh Employees (India)
10,Genpact,4.0,(19.4k Reviews),Private,"New York,New York + 61 more",25 years old,50k-1 Lakh Employees (India)
11,Axis Bank,3.9,(17.4k Reviews),Public,"Mumbai,Maharashtra + 1016 more",29 years old,50k-1 Lakh Employees (India)
12,IBM,4.2,(14.3k Reviews),Public,"Armonk,New York + 113 more",111 years old,50k-1 Lakh Employees (India)
13,Amazon,4.2,(13.9k Reviews),Private,"Seattle,Washington + 334 more",28 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.1,(13.8k Reviews),Public,"Fremont,California + 64 more",39 years old,10k-50k Employees (India)
15,Larsen & Toubro ...,4.1,(19.1k Reviews),Public,"Mumbai,Maharashtra + 504 more",84 years old,10k-50k Employees (India)
16,Reliance jio,4.0,(13.5k Reviews),Public,"Navi Mumbai,Maharashtra + 922 more",15 years old,10k-50k Employees (India)
17,Vodafone Idea,4.3,(13k Reviews),Public,"Gandhinagar,Gujrat + 553 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(12.1k Reviews),Private,"Ahmedabad,Gujrat + 724 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(9.7k Reviews),Private,Paris + 114 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(12.6k Reviews),Public,"Mumbai,Maharashtra + 464 more",19 years old,10k-50k Employees (India)
21,Reliance Industr...,4.1,(38.2k Reviews),Public,"Navi Mumbai,Maharashtra + 430 more",49 years old,1 Lakh+ Employees (India)
22,Bharti Airtel,4.1,(11.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 475 more",27 years old,5k-10k Employees (India)
23,Deloitte,4.1,(8.5k Reviews),Private,"New York,New York + 134 more",177 years old,10k-50k Employees (India)
24,Tata Motors,4.1,(8.4k Reviews),Public,"Pune,Maharashtra + 379 more",77 years old,50k-1 Lakh Employees (India)
25,Reliance Retail,4.1,(13k Reviews),Private,"Navi Mumbai,Maharashtra + 542 more",16 years old,1 Lakh+ Employees (India)
26,Mahindra & Mahin...,4.1,(19.5k Reviews),Public,"Mumbai,Maharashtra + 395 more",77 years old,10k-50k Employees (India)
27,IndusInd Bank,3.8,(6.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 536 more",28 years old,10k-50k Employees (India)
28,WNS,3.7,(6.3k Reviews),Private,"Mumbai,Maharashtra + 21 more",26 years old,10k-50k Employees (India)
29,DXC Technology,3.9,(6.4k Reviews),Public,"Minato,Tokyo + 55 more",31 years old,10k-50k Employees (India)
30,Flipkart,4.2,(10.1k Reviews),Public,"Bangalore,Karnataka + 395 more",15 years old,10k-50k Employees (India)
31,Hinduja Global S...,4.0,(5.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 74 more",22 years old,1k-5k Employees (India)
32,Maruti Suzuki,4.1,(5.5k Reviews),Public,"New Delhi,Delhi + 364 more",39 years old,10k-50k Employees (India)
33,Ernst & Young,3.8,(5.4k Reviews),Private,London + 69 more,20 years old,50k-1 Lakh Employees (India)
34,Samsung,4.1,(7.7k Reviews),Private,"Ridgefield Park,NJ + 414 more",84 years old,50k-1 Lakh Employees (India)
35,Infosys BPM,4.0,(5.3k Reviews),"Bangalore/Bengaluru,Karnataka + 44 more",20 years old,10k-50k Employees (India),
36,HSBC,4.1,(5.5k Reviews),Private,"Pune,Maharashtra + 55 more",20 years old,10k-50k Employees (India)
37,BYJU'S,3.7,(9.3k Reviews),Private,"Bangalore,Karnataka + 152 more",11 years old,1k-5k Employees (India)
38,Ericsson,4.3,(5.1k Reviews),Private,"Stockholm,Stockholm County + 128 more",146 years old,10k-50k Employees (India)
39,Bajaj Finserv,4.1,(12.6k Reviews),Public,"Pune,Maharashtra + 624 more",15 years old,10k-50k Employees (India)
40,Conneqt Business...,3.8,(4.7k Reviews),Private,"Mumbai,Maharashtra + 145 more",20 years old,10k-50k Employees (India)
41,IDFC FIRST Bank,4.0,(4.6k Reviews),Public,"Mumbai,Maharashtra + 351 more",4 years old,10k-50k Employees (India)
42,Dr. Reddy's,4.2,(4.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 128 more",36 years old,10k-50k Employees (India)
43,Startek,3.5,(4.5k Reviews),Public,"Mumbai,Maharashtra + 51 more",5 years old,5k-10k Employees (India)
44,Jana Small Finan...,3.9,(4.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 302 more",16 years old,10k-50k Employees (India)
45,Mphasis,3.8,(4.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 42 more",22 years old,1k-5k Employees (India)
46,Sutherland Globa...,3.9,(4.8k Reviews),Private,"Pittsford,New York + 38 more",36 years old,10k-50k Employees (India)
47,Cipla Pharmaceut...,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 184 more",87 years old,10k-50k Employees (India)
48,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 394 more",22 years old,10k-50k Employees (India)
49,Yes Bank,4.0,(4.2k Reviews),Public,"Mumbai,Maharashtra + 341 more",18 years old,10k-50k Employees (India)
50,Bajaj Allianz Li...,4.2,(4.3k Reviews),Private,Pune + 423 more,21 years old,10k-50k Employees (India)
51,Asian Paints,4.3,(4.7k Reviews),Public,"Mumbai,Maharashtra + 322 more",80 years old,10k-50k Employees (India)
52,Lupin,4.2,(4.1k Reviews),Public,"Mumbai,Maharashtra + 126 more",54 years old,10k-50k Employees (India)
53,NTT DATA,4.1,(7.8k Reviews),Private,"Chiyoda City,Tokyo + 37 more",34 years old,10k-50k Employees (India)
54,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 261 more",127 years old,1 Lakh+ Employees (India)
55,HDFC LIFE,4.1,(3.9k Reviews),Public,"Mumbai,Maharashtra + 389 more",22 years old,10k-50k Employees (India)
56,EXL Service,3.9,(4.8k Reviews),Private,"New York City,New York + 32 more",23 years old,10k-50k Employees (India)
57,Udaan,4.2,(3.9k Reviews),Private,"Bangalore,Karnataka + 295 more",6 years old,10k-50k Employees (India)
58,Home Credit Fina...,4.2,(3.8k Reviews),Private,Gurugram + 98 more,10 years old,10k-50k Employees (India)
59,L&T Infotech,3.9,(3.6k Reviews),Public,"Mumbai,Maharashtra + 78 more",26 years old,10k-50k Employees (India)
60,Zydus Cadila,4.1,(4.6k Reviews),Public,"Ahmedabad, India + 130 more",70 years old,10k-50k Employees (India)
61,Bajaj Finance,4.2,(3.6k Reviews),Private,"Pune,Maharashtra + 578 more",35 years old,10k-50k Employees (India)
62,PwC,3.8,(3.6k Reviews),Partnership,London + 58 more,24 years old,5k-10k Employees (India)
63,Hindustan Unilev...,4.3,(5.7k Reviews),Public,"Mumbai,Maharashtra + 337 more",89 years old,10k-50k Employees (India)
64,UltraTech Cement,4.3,(3.8k Reviews),Public,"Mumbai,Maharashtra + 322 more",39 years old,10k-50k Employees (India)
65,ITC,3.9,(6.9k Reviews),Public,"Kolkata,West Bengal + 216 more",47 years old,10k-50k Employees (India)
66,Hewlett-Packard ...,4.3,(4.9k Reviews),Private,"Houston,Texas + 86 more",83 years old,10k-50k Employees (India)
67,Ujjivan Small Fi...,4.1,(3.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 369 more",5 years old,10k-50k Employees (India)
68,OPPO,4.0,(3.6k Reviews),Public,"Dongguan,Guangdong + 305 more",18 years old,10k-50k Employees (India)
69,Paytm,3.7,(4.2k Reviews),Public,Noida + 224 more,12 years old,10k-50k Employees (India)
70,Shapoorji Pallon...,4.4,(5.1k Reviews),Private,"Mumbai,Maharashtra + 132 more",157 years old,5k-10k Employees (India)
71,Intelenet Global...,3.7,(3.3k Reviews),Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India)
72,IIFL,3.9,(3.3k Reviews),Public,"Mumbai,Maharashtra + 435 more",27 years old,5k-10k Employees (India)
73,Ashok Leyland,4.1,(3.9k Reviews),Public,"Chennai,Tamil Nadu + 183 more",74 years old,10k-50k Employees (India)
74,KPMG,3.8,(3.3k Reviews),Partnership,New York + 51 more,35 years old,10k-50k Employees (India)
75,Shriram Transpor...,4.2,(5.1k Reviews),Public,"Mumbai,Maharashtra + 630 more",43 years old,10k-50k Employees (India)
76,Mahindra & Mahin...,4.3,(3.2k Reviews),Public,"Mumbai,Maharashtra + 538 more",31 years old,10k-50k Employees (India)
77,Sun Pharmaceutic...,4.1,(3.7k Reviews),Public,Mumbai + 138 more,39 years old,10k-50k Employees (India)
78,Mindtree,4.1,(3.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 23 more",23 years old,10k-50k Employees (India)
79,JP Morgan Chase,4.2,(3.2k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India)
80,Aurobindo Pharma,4.1,(3.4k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 49 more",36 years old,1k-5k Employees (India)
81,Vivo,4.1,(3.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 316 more",13 years old,5k-10k Employees (India)
82,Apollo Hospitals,4.1,(5k Reviews),Public,"San Francisco,California + 160 more",39 years old,50k-1 Lakh Employees (India)
83,Reliance Communi...,4.0,(3.6k Reviews),Public,"Navi Mumbai,Maharashtra + 364 more",20 years old,10k-50k Employees (India)
84,Future Group,4.2,(10k Reviews),Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India)
85,Fidelity Nationa...,4.1,(3.2k Reviews),Private,"Jacksonville,Florida + 31 more",17 years old,10k-50k Employees (India)
86,Nokia,4.4,(3.2k Reviews),Private,"Espoo,Southern Finland + 167 more",157 years old,10k-50k Employees (India)
87,Siemens,4.2,(3.1k Reviews),Public,"Munich,Bavaria + 101 more",30 years old,10k-50k Employees (India)
88,Wells Fargo Indi...,4.2,(3k Reviews),Private,"San Francisco,California + 11 more",24 years old,10k-50k Employees (India)
89,Bandhan Bank,4.0,(3.2k Reviews),Public,"Kolkata,West Bengal + 500 more",21 years old,10k-50k Employees (India)
90,eClerx,3.7,(2.9k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India)
91,Wipro BPS,3.8,(2.9k Reviews),Bengaluru + 36 more,22 years old,1 Lakh+ Employees (India),
92,Max Life Insuran...,4.2,(2.9k Reviews),JV,"Gurgaon/Gurugram,Haryana + 265 more",22 years old,10k-50k Employees (India)
93,Delhivery,4.2,(2.9k Reviews),Private,"Delhi,NCT + 427 more",11 years old,10k-50k Employees (India)
94,TVS Motor,4.1,(3.1k Reviews),Public,"Chennai,Tamil Nadu + 228 more",43 years old,5k-10k Employees (India)
95,Oyo Rooms,3.6,(3k Reviews),Private,"Gurgaon,Haryana + 101 more",9 years old,1k-5k Employees (India)
96,AU Small Finance...,4.1,(3.8k Reviews),Private,"Jaipur,Rajasthan + 276 more",26 years old,10k-50k Employees (India)
97,Cyient,3.7,(2.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",31 years old,10k-50k Employees (India)
98,Tata Projects,4.2,(2.8k Reviews),Public,"Mumbai,Maharashtra + 192 more",43 years old,5k-10k Employees (India)
99,JLL,4.3,(2.8k Reviews),Private,"Mumbai,Maharashtra + 58 more",25 years old,10k-50k Employees (India)
100,First Source,4.0,(2.8k Reviews),Public,"Mumbai,Maharashtra + 45 more",21 years old,5k-10k Employees (India)
101,Hero MotoCorp,4.3,(2.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 259 more",38 years old,5k-10k Employees (India)
102,Oracle,3.9,(3.5k Reviews),Public,"Austin,Texas + 30 more",45 years old,10k-50k Employees (India)
103,JSW Steel,3.9,(4.1k Reviews),Public,"Mumbai,Maharashtra + 87 more",40 years old,10k-50k Employees (India)
104,Hexaware Technol...,3.8,(2.8k Reviews),Public,"Mumbai,Maharashtra + 29 more",32 years old,10k-50k Employees (India)
105,TATA Steel,4.1,(4.2k Reviews),Public,"Mumbai,Maharashtra + 120 more",115 years old,10k-50k Employees (India)
106,Hyundai Motor,4.1,(3.7k Reviews),Private,Seoul + 219 more,55 years old,5k-10k Employees (India)
107,Bosch,4.3,(3.6k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 83 more",136 years old,10k-50k Employees (India)
108,Atos Syntel,3.7,(4.4k Reviews),Private,"Troy,Michigan + 14 more",42 years old,10k-50k Employees (India)
109,JustDial,3.6,(2.7k Reviews),Public,"Mumbai,Maharashtra + 123 more",26 years old,10k-50k Employees (India)
110,iEnergizer,3.5,(2.5k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India)
111,Megha Engineerin...,4.2,(2.5k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 182 more",33 years old,1k-5k Employees (India)
112,Quess,3.9,(7.5k Reviews),Public,Bangalore + 293 more,15 years old,10k-50k Employees (India)
113,Dell,4.2,(3.5k Reviews),Private,"Round Rock,Texas + 85 more",38 years old,50k-1 Lakh Employees (India)
114,Godrej & Boyce M...,3.9,(2.5k Reviews),Private,"Mumbai,Maharashtra + 120 more",125 years old,10k-50k Employees (India)
115,Viatris,4.3,(2.4k Reviews),"Canonsburg,Pennsylvania + 61 more",61 years old,1k-5k Employees (India),
116,BNY Mellon,4.2,(2.4k Reviews),Private,"New York City,New York + 10 more",18 years old,10k-50k Employees (India)
117,SBI Cards & Paym...,3.8,(2.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 227 more",24 years old,5k-10k Employees (India)
118,Omega Healthcare,3.8,(2.4k Reviews),Private,Florida + 26 more,18 years old,1k-5k Employees (India)
119,Fullerton India,4.2,(2.4k Reviews),Private,Mumbai + 382 more,15 years old,10k-50k Employees (India)
120,Fullerton India,4.2,(2.4k Reviews),Private,Mumbai + 382 more,15 years old,10k-50k Employees (India)
121,UnitedHealth,4.2,(4.2k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India)
122,Aditya Birla Fas...,4.3,(2.8k Reviews),Private,Mumbai + 191 more,7 years old,10k-50k Employees (India)
123,Cgi Group,4.2,(2.4k Reviews),Private,"Montreal,Quebec + 14 more",31 years old,10k-50k Employees (India)
124,Manappuram Finan...,4.0,(3k Reviews),Public,"Thrissur/Trichur,Kerala + 355 more",73 years old,10k-50k Employees (India)
125,Axis Direct,4.0,(2.3k Reviews),Private,"San Mateo,California + 264 more",11 years old,1k-5k Employees (India)
126,Dominos Pizza,4.1,(2.3k Reviews),Public,"Ypsilanti,Michigan + 198 more",62 years old,1k-5k Employees (India)
127,IQVIA,4.2,(2.3k Reviews),Partnership,Durham + 38 more,40 years old,10k-50k Employees (India)
128,Wipro Consumer ...,3.8,(2.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 70 more",77 years old,1k-5k Employees (India)
129,D Mart,4.0,(2.3k Reviews),Private,"Mumbai,Maharashtra + 147 more",22 years old,5k-10k Employees (India)
130,Nagarjuna Constr...,4.2,(2.4k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 168 more",24 years old,1k-5k Employees (India)
131,CBRE,4.3,(2.2k Reviews),Private,"Los Angeles,California + 51 more",116 years old,10k-50k Employees (India)
132,Royal Enfield,4.2,(2.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 225 more",67 years old,5k-10k Employees (India)
133,State Bank of In...,3.9,(2.2k Reviews),"Mumbai,Maharashtra + 325 more",216 years old,1 Lakh+ Employees (India),
134,JBM Group,4.1,(2.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 71 more",39 years old,1k-5k Employees (India)
135,ICICI Lombard Ge...,3.9,(2.2k Reviews),Public,"Mumbai,Maharashtra + 193 more",21 years old,5k-10k Employees (India)
136,Tata Communicati...,4.2,(2.9k Reviews),Public,"Mumbai,Maharashtra + 87 more",36 years old,10k-50k Employees (India)
137,Nagarro,4.6,(2.2k Reviews),Private,"Munich,Bavaria + 29 more",26 years old,5k-10k Employees (India)
138,Equitas Small Fi...,4.1,(2.2k Reviews),Private,"Chennai,Tamil Nadu + 277 more",15 years old,1k-5k Employees (India)
139,Flex,4.2,(2.1k Reviews),Private,San Jose + 36 more,53 years old,10k-50k Employees (India)
140,Amdocs,4.1,(2.1k Reviews),Private,"Chesterfield,Missouri + 11 more",40 years old,10k-50k Employees (India)
141,Muthoot Fincorp,4.0,(2.1k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 403 more",135 years old,10k-50k Employees (India)
142,LG Electronics,4.1,(2.2k Reviews),Public,"Seoul,Seoul + 183 more",64 years old,5k-10k Employees (India)
143,Motherson Sumi S...,3.9,(3.4k Reviews),Public,"Noida,Uttar Pradesh + 61 more",36 years old,1k-5k Employees (India)
144,UST,4.1,(2.3k Reviews),Private,"Aliso Viejo,California + 31 more",21 years old,10k-50k Employees (India)
145,Bosch Global Sof...,4.2,(2.1k Reviews),Private,Gerlingen + 18 more,32 years old,10k-50k Employees (India)
146,Sodexo,4.1,(2.2k Reviews),Private,Issy Les Moulineaux + 106 more,14 years old,10k-50k Employees (India)
147,Hetero Drugs,4.0,(2.4k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 31 more",29 years old,1k-5k Employees (India)
148,Ford Motor,4.6,(2.4k Reviews),Public,"Dearborn,Michigan + 99 more",119 years old,5k-10k Employees (India)
149,L&T Financial Se...,4.1,(2.1k Reviews),Public,"Mumbai,Maharashtra + 369 more",28 years old,10k-50k Employees (India)
150,John Deere,4.4,(2.3k Reviews),Private,"Moline,Illinois + 93 more",21 years old,1k-5k Employees (India)
151,Ecom Express,4.3,(2.1k Reviews),Private,"Gurgaon,Haryana + 449 more",10 years old,10k-50k Employees (India)
152,Whitehat jr,3.8,(2.1k Reviews),Private,"Mumbai,Maharashtra + 45 more",4 years old,5k-10k Employees (India)
153,Bajaj Auto,4.1,(5.6k Reviews),Public,"Pune,Maharashtra + 194 more",77 years old,201-500 Employees (India)
154,Alembic Pharmace...,4.1,(2.1k Reviews),Public,"Vadodara/Baroda,Gujrat + 117 more",115 years old,5k-10k Employees (India)
155,SBI Life Insuran...,3.8,(2k Reviews),Public,"Mumbai,Maharashtra + 399 more",21 years old,10k-50k Employees (India)
156,KEC Internationa...,4.2,(2k Reviews),Public,"Mumbai,Maharashtra + 194 more",77 years old,5k-10k Employees (India)
157,Indiamart Interm...,3.8,(2k Reviews),Private,"Noida,Uttar Pradesh + 95 more",26 years old,10k-50k Employees (India)
158,Abbott Healthcar...,4.2,(3.4k Reviews),Public,"Illinois City,Illinois + 137 more",31 years old,10k-50k Employees (India)
159,Cholamandalam In...,4.3,(2k Reviews),Private,"Chennai,Tamil Nadu + 456 more",44 years old,1k-5k Employees (India)
160,Hindustan Coca C...,4.4,(2k Reviews),Private,Bangalore + 164 more,25 years old,1k-5k Employees (India)
161,Simplex Infrastr...,3.7,(2.2k Reviews),Public,"Kolkata,West Bengal + 119 more",98 years old,1k-5k Employees (India)
162,Subros,4.0,(2k Reviews),Public,"Noida,Uttar Pradesh + 31 more",37 years old,1k-5k Employees (India)
163,Muthoot Group,3.7,(4.3k Reviews),Public,"Wedel,Schleswig-holstein + 318 more",135 years old,1k-5k Employees (India)
164,Schneider Electr...,4.2,(3.6k Reviews),Private,Paris + 63 more,23 years old,10k-50k Employees (India)
165,Wipro Enterprise...,3.8,(2k Reviews),Bangalore + 65 more,77 years old,1 Lakh+ Employees (India),
166,BigBasket,4.2,(2k Reviews),Private,"Bangalore,Karnataka + 68 more",11 years old,5k-10k Employees (India)
167,Thermax,4.3,(2.2k Reviews),Public,"Pune,Maharashtra + 117 more",42 years old,1k-5k Employees (India)
168,Arvind Group,4.1,(2.2k Reviews),Public,"Ahmedabad,Gujrat + 128 more",91 years old,10k-50k Employees (India)
169,Gati kwe,4.1,(2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 143 more",10 years old,1k-5k Employees (India)
170,GlobalLogic,4.0,(2k Reviews),Private,"San Jose,California + 22 more",22 years old,5k-10k Employees (India)
171,Intas Pharmaceut...,4.3,(2k Reviews),Private,"Ahmedabad,Gujrat + 93 more",22 years old,5k-10k Employees (India)
172,NatWest Group,4.1,(1.9k Reviews),Chennai + 18 more,10k-50k Employees (India),,
173,Muthoot Finance,3.6,(1.9k Reviews),Public,"Kochi/Cochin,Kerala + 373 more",83 years old,10k-50k Employees (India)
174,Shoppers Stop,4.3,(2k Reviews),Public,"Mumbai,Maharashtra + 53 more",31 years old,10k-50k Employees (India)
175,VE Commercial Ve...,4.1,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 101 more",14 years old,1k-5k Employees (India)
176,Varun Beverages,4.0,(1.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 181 more",27 years old,5k-10k Employees (India)
177,Indian Air Force,4.6,(1.9k Reviews),Private,"New Delhi,Delhi + 98 more",90 years old,1 Lakh+ Employees (India)
178,Cummins,4.4,(1.9k Reviews),"Columbus,Indiana + 74 more",60 years old,10k-50k Employees (India),
179,Atos,3.8,(6.3k Reviews),Private,"Vilnius,Vilniaus Apskritis + 30 more",25 years old,10k-50k Employees (India)
180,Suzlon Group,4.2,(1.9k Reviews),Public,"Pune,Maharashtra + 82 more",27 years old,5k-10k Employees (India)
181,Macleods Pharmac...,4.0,(1.9k Reviews),Public,"Mumbai,Maharashtra + 73 more",36 years old,5k-10k Employees (India)
182,McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 116 more",67 years old,5k-10k Employees (India)
183,CMS IT Services,3.2,(1.8k Reviews),Private,"Bangalore,Karnataka + 111 more",8 years old,5k-10k Employees (India)
184,DTDC Express,4.0,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 184 more",32 years old,1k-5k Employees (India)
185,Bel,4.2,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 28 more",68 years old,5k-10k Employees (India)
186,Glenmark Pharmac...,4.2,(1.8k Reviews),Public,"Mumbai,Maharashtra + 105 more",45 years old,5k-10k Employees (India)
187,ABB Group,4.1,(1.8k Reviews),Public,Zurich + 84 more,21 years old,5k-10k Employees (India)
188,Lava Internation...,4.2,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 201 more",13 years old,1k-5k Employees (India)
189,Virtusa Consulti...,3.8,(1.8k Reviews),Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India)
190,American Express,4.4,(2k Reviews),Private,"New York City,New York + 34 more",172 years old,10k-50k Employees (India)
191,Deutsche Bank,4.3,(1.8k Reviews),Private,Frankfurt + 29 more,152 years old,10k-50k Employees (India)
192,Honda Motorcycle...,4.2,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 160 more",23 years old,5k-10k Employees (India)
193,Optum,4.1,(1.8k Reviews),Private,Minnesota + 19 more,45 years old,50k-1 Lakh Employees (India)
194,Alkem Laboratori...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 114 more",49 years old,10k-50k Employees (India)
195,Randstad,4.1,(1.8k Reviews),Private,"Chennai,Tamil Nadu + 193 more",30 years old,1k-5k Employees (India)
196,Swiggy,4.2,(1.8k Reviews),Private,"Bangalore,Karnataka + 125 more",8 years old,1k-5k Employees (India)
197,Havells,4.2,(2k Reviews),Public,"Noida,Uttar Pradesh + 118 more",39 years old,5k-10k Employees (India)
198,Reliance Nippon ...,3.9,(1.8k Reviews),Private,"Mumbai,Maharashtra + 375 more",22 years old,10k-50k Employees (India)
199,Standard Charter...,4.2,(4.2k Reviews),Private,London + 57 more,53 years old,5k-10k Employees (India)
200,Pidilite Industr...,4.4,(1.9k Reviews),Public,"Mumbai,Maharashtra + 162 more",63 years old,5k-10k Employees (India)
201,KocharTech,4.5,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",27 years old,5k-10k Employees (India)
202,Ipca Laboratorie...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 96 more",73 years old,5k-10k Employees (India)
203,DCB Bank,4.0,(1.8k Reviews),Private,"Mumbai,Maharashtra + 230 more",92 years old,5k-10k Employees (India)
204,Bajaj Electrical...,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 161 more",84 years old,5k-10k Employees (India)
205,Indian Oil Corpo...,4.4,(2k Reviews),Private,"Delhi/NCR,Delhi + 172 more",63 years old,10k-50k Employees (India)
206,Tata Teleservice...,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 153 more",26 years old,201-500 Employees (India)
207,Future Retail,4.2,(4.3k Reviews),Public,"San Francisco,California + 184 more",35 years old,10k-50k Employees (India)
208,Titan Company,4.4,(1.7k Reviews),Public,"Mumbai,Maharashtra + 116 more",4 years old,5k-10k Employees (India)
209,Conduent,3.6,(1.7k Reviews),Private,"Florham Park,New Jersey + 17 more",5 years old,5k-10k Employees (India)
210,24/7 Customer,3.6,(1.7k Reviews),Private,"San Jose,California + 19 more",22 years old,5k-10k Employees (India)
211,Hindalco Industr...,4.3,(1.7k Reviews),Public,"Mumbai,Maharashtra + 62 more",64 years old,10k-50k Employees (India)
212,State Street Syn...,3.8,(1.7k Reviews),Private,Mumbai + 12 more,18 years old,501-1k Employees (India)
213,Maersk,4.4,(1.7k Reviews),Private,Copenhagen + 21 more,118 years old,10k-50k Employees (India)
214,PepsiCo,4.2,(1.8k Reviews),Private,"Harrison,New York + 196 more",33 years old,1 Lakh+ Employees (India)
215,Tractors and Far...,4.2,(1.7k Reviews),Public,"Chennai,Tamil Nadu + 131 more",62 years old,5k-10k Employees (India)
216,Jindal Steel and...,4.0,(2k Reviews),Private,"Delhi/NCR,New Delhi + 87 more",70 years old,5k-10k Employees (India)
217,MRF Tyres,3.7,(1.7k Reviews),Public,"Chennai,Tamil Nadu + 158 more",76 years old,1k-5k Employees (India)
218,Huawei Technolog...,3.8,(1.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 87 more",20 years old,1k-5k Employees (India)
219,Team Lease,4.1,(1.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 180 more",6 years old,1k-5k Employees (India)
220,Torrent Pharmace...,4.1,(1.7k Reviews),Public,"Ahmedabad,Gujrat + 85 more",51 years old,5k-10k Employees (India)
221,CARS24.com,3.8,(1.7k Reviews),Private,"Gurgaon,Haryana + 129 more",7 years old,5k-10k Employees (India)
222,Vishal Mega Mart,3.9,(1.6k Reviews),Private,"Ahmedabad,Gujrat + 232 more",14 years old,5k-10k Employees (India)
223,Rivigo,3.9,(1.6k Reviews),Private,"Gurgaon,Haryana + 142 more",8 years old,1k-5k Employees (India)
